FECHA,HORA,UBICACION,COORDENADAS,LATITUD,LONGITUD,FECHA_dt,HORA_td,DT,DT_15,HORA_15,HORA_H,WEEKDAY,WEEKDAY_NAME,MIN_DESDE_MEDIANOCHE
2023-10-27,10:15:00,TREVINO 1095        COLONIA  CENTRO DE APODACA APODACA NL,"{'lat': 25.7415877, 'lon': -100.1636989}",25.7415877,-100.1636989,2023-10-27,0 days 10:15:00,2023-10-27 10:15:00,2023-10-27 10:15:00,10:15,10,4,Vie,615
2023-10-27,11:45:00,JAPON 203   COLONIA  NUEVO AMANECER 2 APODACA NL,"{'lat': 25.7715892, 'lon': -100.2463403}",25.7715892,-100.2463403,2023-10-27,0 days 11:45:00,2023-10-27 11:45:00,2023-10-27 11:45:00,11:45,11,4,Vie,705
2023-10-27,16:15:00,VIRIDIANA 123      COLONIA  LOS MURALES APODACA NL,"{'lat': 25.8019734, 'lon': -100.2225829}",25.8019734,-100.2225829,2023-10-27,0 days 16:15:00,2023-10-27 16:15:00,2023-10-27 16:15:00,16:15,16,4,Vie,975
2023-10-27,18:30:00,A AV,"{'lat': 25.7555529, 'lon': -100.1969985}",25.7555529,-100.1969985,2023-10-27,0 days 18:30:00,2023-10-27 18:30:00,2023-10-27 18:30:00,18:30,18,4,Vie,1110
2023-10-28,10:15:00,HACIENDA DEL MEZQUITAL APODACA NL,"{'lat': 25.7493878, 'lon': -100.2317873}",25.7493878,-100.2317873,2023-10-28,0 days 10:15:00,2023-10-28 10:15:00,2023-10-28 10:15:00,10:15,10,5,Sáb,615
2023-10-28,15:15:00,PASEO DE LOS NOGALES,"{'lat': 25.7741445, 'lon': -100.2429239}",25.7741445,-100.2429239,2023-10-28,0 days 15:15:00,2023-10-28 15:15:00,2023-10-28 15:15:00,15:15,15,5,Sáb,915
2023-10-28,23:45:00,GARDENIA 340         COLONIA  ARTEMIO TREVINO APODACA NL,"{'lat': 25.8365914, 'lon': -100.1438613}",25.8365914,-100.1438613,2023-10-28,0 days 23:45:00,2023-10-28 23:45:00,2023-10-28 23:45:00,23:45,23,5,Sáb,1425
2023-10-29,05:45:00,LINO 646          COLONIA  LOS TREBOLES APODACA NL,"{'lat': 25.762631, 'lon': -100.144233}",25.762631,-100.144233,2023-10-29,0 days 05:45:00,2023-10-29 05:45:00,2023-10-29 05:45:00,05:45,5,6,Dom,345
2023-10-30,00:30:00,METROPLEX 2 APODACA NL,"{'lat': 25.7875899, 'lon': -100.2524319}",25.7875899,-100.2524319,2023-10-30,0 days 00:30:00,2023-10-30 00:30:00,2023-10-30 00:30:00,00:30,0,0,Lun,30
2023-10-30,11:15:00,CAMELIA 305       COLONIA  ARTEMIO TREVINO APODACA NL,"{'lat': 25.8357535, 'lon': -100.1443383}",25.8357535,-100.1443383,2023-10-30,0 days 11:15:00,2023-10-30 11:15:00,2023-10-30 11:15:00,11:15,11,0,Lun,675
