FECHA,HORA,UBICACION,COORDENADAS,LATITUD,LONGITUD,FECHA_dt,HORA_td,DT,DT_15,HORA_15,HORA_H,WEEKDAY,WEEKDAY_NAME,MIN_DESDE_MEDIANOCHE
2023-10-26,22:34:00,PARA VALORIZACION DE FEMENINA,"{'lat': 25.776468, 'lon': -100.1858743}",25.776468,-100.1858743,2023-10-26,0 days 22:34:00,2023-10-26 22:34:00,2023-10-26 22:30:00,22:30,22,3,Jue,1350
2023-10-27,08:09:00,MANANTIAL 507 LAGO       COLONIA    EL MANANTIAL 1 APODACA NL,"{'lat': 25.783571, 'lon': -100.2646878}",25.783571,-100.2646878,2023-10-27,0 days 08:09:00,2023-10-27 08:09:00,2023-10-27 08:15:00,08:15,8,4,Vie,495
2023-10-27,08:19:00,ANILLO PERIFERICO E 100D KM 49 MIGUEL ALEMAN     COLONIA  PARQUE INDUSTRIAL KRONOS APODACA NL,"{'lat': 25.7817301, 'lon': -100.1683529}",25.7817301,-100.1683529,2023-10-27,0 days 08:19:00,2023-10-27 08:19:00,2023-10-27 08:15:00,08:15,8,4,Vie,495
2023-10-27,08:41:00,CTO DE ESPADANA CTO DE LAS ESPUELAS DE LAS ARCADAS  CTO DE LAS ESPUELAS   COLONIA  EX HACIENDA SANTA ROSA APODACA NL,"{'lat': 25.7963812, 'lon': -100.2151901}",25.7963812,-100.2151901,2023-10-27,0 days 08:41:00,2023-10-27 08:41:00,2023-10-27 08:45:00,08:45,8,4,Vie,525
2023-10-27,09:10:00,ELIAS FLORES SUR GARZA GARCIA OTE           COLONIA  FUTURO APODACA APODACA NL,"{'lat': 25.7805964, 'lon': -100.180686}",25.7805964,-100.180686,2023-10-27,0 days 09:10:00,2023-10-27 09:10:00,2023-10-27 09:15:00,09:15,9,4,Vie,555
2023-10-27,09:20:00,PRIV RIO BRAVO 302       COLONIA  PUEBLO NUEVO 1 APODACA NL,"{'lat': 25.7432752, 'lon': -100.1544363}",25.7432752,-100.1544363,2023-10-27,0 days 09:20:00,2023-10-27 09:20:00,2023-10-27 09:15:00,09:15,9,4,Vie,555
2023-10-27,09:32:00,FELIX LOZANO JUAREZ PUENTE POBLADO SANTA ROSA   COLONIA  SANTA ROSA APODACA NL,"{'lat': 25.8248247, 'lon': -100.2210832}",25.8248247,-100.2210832,2023-10-27,0 days 09:32:00,2023-10-27 09:32:00,2023-10-27 09:30:00,09:30,9,4,Vie,570
2023-10-27,10:21:00,TREVINO 1095        COLONIA  CENTRO DE APODACA APODACA NL,"{'lat': 25.786498, 'lon': -100.1821952}",25.786498,-100.1821952,2023-10-27,0 days 10:21:00,2023-10-27 10:21:00,2023-10-27 10:15:00,10:15,10,4,Vie,615
2023-10-27,10:59:00,LMTO NOROESTE E KM 35 544  CORRODENAADAS  25 83111  100 25400   COLONIA  MUNICIPIO DE APODACA APODACA NL   IGLESIA CENTRO MUNDIAL DE ORACION,"{'lat': 25.8310564, 'lon': -100.2539952}",25.8310564,-100.2539952,2023-10-27,0 days 10:59:00,2023-10-27 10:59:00,2023-10-27 11:00:00,11:00,11,4,Vie,660
2023-10-27,11:39:00,JAPON 203   COLONIA  NUEVO AMANECER 2 APODACA NL,"{'lat': 25.7707874, 'lon': -100.2430936}",25.7707874,-100.2430936,2023-10-27,0 days 11:39:00,2023-10-27 11:39:00,2023-10-27 11:45:00,11:45,11,4,Vie,705
