FECHA,HORA,UBICACION,COORDENADAS
2023-10-26,22:34:00,PARA VALORIZACION DE FEMENINA,
2023-10-27,08:09:00,MANANTIAL 507 LAGO       COLONIA    EL MANANTIAL 1 APODACA NL,
2023-10-27,08:19:00,ANILLO PERIFERICO E 100D KM 49 MIGUEL ALEMAN     COLONIA  PARQUE INDUSTRIAL KRONOS APODACA NL,
2023-10-27,08:41:00,CTO DE ESPADANA CTO DE LAS ESPUELAS DE LAS ARCADAS  CTO DE LAS ESPUELAS   COLONIA  EX HACIENDA SANTA ROSA APODACA NL,
2023-10-27,09:10:00,ELIAS FLORES SUR GARZA GARCIA OTE           COLONIA  FUTURO APODACA APODACA NL,
2023-10-27,09:20:00,PRIV RIO BRAVO 302       COLONIA  PUEBLO NUEVO 1 APODACA NL,
2023-10-27,09:32:00,FELIX LOZANO JUAREZ PUENTE POBLADO SANTA ROSA   COLONIA  SANTA ROSA APODACA NL,
2023-10-27,10:21:00,TREVINO 1095        COLONIA  CENTRO DE APODACA APODACA NL,
2023-10-27,10:59:00,LMTO NOROESTE E KM 35 544  CORRODENAADAS  25 83111  100 25400   COLONIA  MUNICIPIO DE APODACA APODACA NL   IGLESIA CENTRO MUNDIAL DE ORACION,
2023-10-27,11:39:00,JAPON 203   COLONIA  NUEVO AMANECER 2 APODACA NL,
2023-10-27,13:09:00,AV TREBOLES AV 7A        COLONIA  LOS TREBOLES APODACA NL,
2023-10-27,14:15:00,BOLIVIA 106       COLONIA    NUEVO AMANECER 1 APODACA NL,
2023-10-27,14:21:00,AV NUEVA LAS PUENTES ZINC        COLONIA  AV NUEVA LAS PUENTES ZINC,
2023-10-27,14:52:00,CTO CLIO ALAYA  CTO CLIO 225       COLONIA  PRIVALIA CONCORDIA 1 APODACA NL,
2023-10-27,15:22:00,ALTAGRACIA MERCADO 607      COLONIA  MUJERES ILUSTRES FOM 4 APODACA NL,
2023-10-27,15:36:00,RIO GUADIANA 144     COLONIA  PUEBLO NUEVO 4 APODACA NL,
2023-10-27,15:41:00,ESPANOLES SAN JAVIER  ESPANOLES 102       COLONIA  PRIVADA DOMINIO APODACA NL,
2023-10-27,16:17:00,VIRIDIANA 123      COLONIA  LOS MURALES APODACA NL,
2023-10-27,17:05:00,AV PORTAL DEL VALLE PORTAL MALLORCA  25 73941682 3901426   100 13848794451414        COLONIA  PORTAL DEL VALLE APODACA NL,
2023-10-27,18:13:00,AV DE LOS EBANOS 712      COLONIA  FRESNOS 4 APODACA NL,
2023-10-27,18:35:00,A AV,
2023-10-27,22:27:00,BLVD JESUS DIONISIO GONZALEZ AV AMERICA VILLAS DE SANTA ROSA APODACA NL     https   maps app goo gl Jgb8uoJKZMWb7QHx8,
2023-10-27,22:29:00,ENTENDIMIENTO 1172    BALCONES DEL NORTE 3 APODACA NL  https   maps app goo gl Asm1i74hbzCQN2hg6,
2023-10-27,23:39:00,ANILLO PERIFERICO ANT CAM A AGUA FRIA P TRIANA SEC PALMAS APODACA NL   https   maps app goo gl gdakn96LdxyDLYah8,
2023-10-28,04:24:00,MISION CORUNA 215        MISION SAN PABLO 2 APODACA NL  https   maps app goo gl n9iYsV7REMcmpa837,
2023-10-28,05:29:00,TOMAS URBINA 321 MOISES SAENZ APODACA NL   https   maps app goo gl XsN9xSHT6k6f9nTS8,
2023-10-28,10:15:00,HACIENDA DEL MEZQUITAL APODACA NL,
2023-10-28,11:01:00,COSMOPOLIS  ENFRENTE DEL RESTAURANTE LA COTORRA,
2023-10-28,11:46:00,PARA VALORAR A FEMENINA  REFERENCIA PASANDO LA  CASETA DE RECOVA,
2023-10-28,15:12:00,PASEO DE LOS NOGALES,
2023-10-28,17:06:00,PARA VALORAR A UNA PERSONA,
2023-10-28,19:43:00,AV DE LA CONCORDIA ANT CAM A SANTO DOMINGO       COLONIA  PRIVALIA CONCORDIA 5 APODACA NL,
2023-10-28,19:56:00,IBIZA 703B      COLONIA  PASEO DE LAS FLORES 1 APODACA NL,
2023-10-28,20:42:00,AV MEXICO 157    COLONIA  NORIA SUR FOM 38 APODACA NL,
2023-10-28,20:55:00,DESIERTON DE SAHARA 400   COLONIA  COLONIAL HUINALA APODACA NL,
